#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
89,Cyprus,"464,366",,993 ,,"124,370",,"339,003",60,"379,691",812,"9,477,138","7,749,034","1,223,009 ",Asia,"31,2320",,,"277,188"
90,Armenia,"422,729",+8,"8,621 ",,"410,420",+27,"3,688",,"142,184","2,900","3,011,012","1,012,750","2,973,105 ",Asia,73451,3,,"1,240"
91,Honduras,"421,268",,"10,888 ",,"131,100",,"279,280",105,"41,361","1,069","1,263,329","124,038","10,185,037 ",North America,249358,,,"27,421"
92,Oman,"388,795",,"4,257 ",,"383,851",,687,6,"72,839",798,"25,000,000","4,683,638","5,337,731 ",Asia,"141,2540",,,129
93,Bosnia and Herzegovina,"376,437",+53,"15,749 ",+1,"192,218",,"168,470",,"116,024","4,854","1,748,585","538,940","3,244,487 ",Europe,92062,16,0.3,"51,925"
94,Qatar,"363,258",,677 ,,"361,425",,"1,156",1,"129,374",241,"3,419,780","1,217,955","2,807,805 ",Asia,"84,1471",,,412
95,Réunion,"360,445",,731 ,,"342,442",,"17,272",10,"397,540",806,"1,603,660","1,768,699","906,689 ",Africa,"31,2401",,,"19,050"
96,Kenya,"323,595",,"5,649 ",,"317,801",,145,,"5,791",101,"3,560,241","63,713","55,879,244 ",Africa,"1739,89216",,,3
97,Zambia,"318,404",+175,"3,970 ",+1,"313,415",+138,"1,019",1,"16,498",206,"3,396,590","175,989","19,300,016 ",Africa,"614,8616",9,0.05,53
98,North Macedonia,"308,294",,"9,260 ",,"297,922",,"1,112",,"147,989","4,445","1,990,996","955,729","2,083,222 ",Europe,72251,,,534
99,Botswana,"305,859",,"2,688 ",,"303,026",,145,1,"125,551","1,103","2,026,898","832,013","2,436,138 ",Africa,89061,,,60
100,Albania,"274,376",,"3,495 ",,"270,510",,371,2,"95,528","1,217","1,790,270","623,309","2,872,202 ",Europe,108222,,,129
101,Algeria,"265,733",,"6,874 ",,"178,329",,"80,530",6,"5,871",152,"230,861","5,101","45,260,528 ",Africa,"1706,584196",,,"1,779"
102,Nigeria,"255,646",,"3,143 ",,"249,842",,"2,661",11,"1,188",15,"4,977,858","23,128","215,231,371 ",Africa,"84268,48043",,,12
103,Zimbabwe,"247,208",,"5,462 ",,"240,819",,927,12,"16,212",358,"2,224,646","145,897","15,248,107 ",Africa,"622,7927",,,61
104,Uzbekistan,"238,214",+38,"1,637 ",,"236,186",+59,391,23,"6,938",48,"1,377,915","40,134","34,332,740 ",Asia,"14420,97325",1,,11
105,Montenegro,"233,980",,"2,709 ",,"230,805",,466,6,"372,456","4,312","2,436,085","3,877,832","628,208 ",Europe,32320,,,742
106,Luxembourg,"227,536",,"1,053 ",,"212,838",,"13,645",3,"353,258","1,635","4,195,400","6,513,514","644,107 ",Europe,36120,,,"21,184"
107,Mozambique,"225,314",,"2,200 ",,"223,060",,54,13,"6,867",67,"1,305,006","39,770","32,813,472 ",Africa,"14614,91525",,,2
108,Kyrgyzstan,"200,980",+7,"2,991 ",,"196,306",+2,"1,683",131,"29,926",445,"1,907,195","283,986","6,715,807 ",Asia,"332,2454",1,,251
109,Laos,"199,434",+454,712 ,+3,"7,660",,"191,062",,"26,721",95,"1,232,128","165,087","7,463,512 ",Asia,"3710,4826",61,0.4,"25,599"
110,Iceland,"183,974",,110 ,,"75,685",,"108,179",1,"532,971",319,"1,953,616","5,659,604","345,186 ",Europe,"23,1380",,,"313,393"
111,Afghanistan,"178,373",+18,"7,676 ",,"161,465",+2,"9,232","1,124","4,406",190,"933,957","23,067","40,488,599 ",Asia,"2275,27543",0.4,,228
